ts_code,bond_short_name,publish_date,end_date,issue_size,convert_price_initial,convert_price,convert_val,convert_vol,convert_ratio,acc_convert_val,acc_convert_vol,acc_convert_ratio,remain_size,total_shares
110073.SH,国投转债,20260708,20260708,8000000000.0,15.25,9.27,6952.5,750.0,8.7e-05,1065541.25,95306.0,0.0133,7998934458.75,6394006875.0
110074.SH,精达转债,20260708,20260708,787000000.0,3.75,3.26,2242932.16,688016.0,0.284998,584745679.38,165216004.0,74.3006,202254320.62,2169954528.0
110081.SH,闻泰转债,20260707,20260707,8600000000.0,96.69,18.36,8304944.04,452339.0,0.096569,902209114.36,48989190.0,10.4908,7697754885.64,1293597850.0
111012.SH,福新转债,20260707,20260707,429018000.0,13.85,11.07,56999.43,5149.0,0.013286,327383999.43,24255087.0,76.3101,101634000.57,301888939.0
110097.SH,天润转债,20260707,20260707,990000000.0,8.3,8.19,999.18,122.0,0.000101,1031999.18,124639.0,0.1042,988968000.82,315514930.0
110074.SH,精达转债,20260707,20260707,787000000.0,3.75,3.26,23829824.12,7309762.0,3.027932,582502747.22,164527988.0,74.0156,204497252.78,2169266512.0
111000.SH,起帆转债,20260707,20260707,1000000000.0,20.1,17.29,985.53,57.0,9.9e-05,879982.34,44799.0,0.088,999120017.66,412908099.0
110077.SH,洪城转债,20260707,20260707,1800000000.0,7.13,4.41,9997.5,2267.0,0.000555,1133002959.0,199263142.0,62.9446,666997041.0,1284486962.0
110073.SH,国投转债,20260707,20260707,8000000000.0,15.25,9.27,9965.25,1075.0,0.000125,1058588.75,94556.0,0.0132,7998941411.25,6394006125.0
111003.SH,聚合转债,20260707,20260707,204000000.0,14.42,11.31,1990.56,176.0,0.000976,482990.56,36281.0,0.2368,203517009.44,314734152.0
111001.SH,山玻转债,20260708,20260706,600000000.0,11.5,11.18,773380.86,68388.0,0.128897,599281000.0,53601304.0,99.8802,708000.0,653601304.0
110077.SH,洪城转债,20260706,20260706,1800000000.0,7.13,4.41,1455961.5,330150.0,0.080887,1132992961.5,199260875.0,62.9441,667007038.5,1284486962.0
