model,factor,rebalance_date,return_date,n_obs,ic,rank_ic
BS,volatility,2023-06-30,2023-07-28,332,-0.3848340002932714,-0.42593301269092043
BS,bs_deviation,2023-07-28,2023-08-25,321,0.1627340899053724,-0.01967659778255065
BS,liquidity,2023-07-28,2023-08-25,321,-0.29721421690250566,-0.23211310733151452
BS,momentum,2023-07-28,2023-08-25,321,0.002048040912459819,0.1589750101584722
BS,price_volume,2023-07-28,2023-08-25,321,-0.13705057251183062,-0.1605299820049922
BS,valuation,2023-07-28,2023-08-25,321,0.34735251091535435,0.15217173622801416
BS,volatility,2023-07-28,2023-08-25,321,-0.4391227484759558,-0.4890132495501249
BS,bs_deviation,2023-08-25,2023-09-28,316,0.1736981692144622,0.14381435359752656
BS,liquidity,2023-08-25,2023-09-28,316,-0.1340794625362151,-0.09529704146962464
BS,momentum,2023-08-25,2023-09-28,316,-0.08888410481514865,-0.20715188922672054
BS,price_volume,2023-08-25,2023-09-28,316,-0.06597029543209829,-0.012034158390425612
BS,valuation,2023-08-25,2023-09-28,316,0.19222328549794498,0.2330680752914511
BS,volatility,2023-08-25,2023-09-28,316,-0.1323648632910677,0.09970812107936255
BS,bs_deviation,2023-09-28,2023-10-27,292,0.007125133224666315,0.02549629277598612
BS,liquidity,2023-09-28,2023-10-27,292,-0.2089263513504812,-0.1058492827751812
BS,momentum,2023-09-28,2023-10-27,292,0.10554492941149356,0.1443785778700199
BS,price_volume,2023-09-28,2023-10-27,292,-0.05721937690569866,-0.04581938977208152
BS,valuation,2023-09-28,2023-10-27,292,0.08357952627268965,0.08498105539363379
BS,volatility,2023-09-28,2023-10-27,292,-0.2148816049132455,-0.25779076151003527
BS,bs_deviation,2023-10-27,2023-11-24,360,0.019131528999164767,0.007499029056294159
BS,liquidity,2023-10-27,2023-11-24,360,0.09234386469538448,-0.11611612229518231
BS,momentum,2023-10-27,2023-11-24,360,0.09628218903311664,0.055147802066373965
BS,price_volume,2023-10-27,2023-11-24,360,0.11379649823377133,0.028333037549158044
BS,valuation,2023-10-27,2023-11-24,360,-0.045961323375122966,0.005883018644691189
BS,volatility,2023-10-27,2023-11-24,360,0.0593968849164231,-0.0399020568574346
BS,bs_deviation,2023-11-24,2023-12-29,316,0.24709465772098982,0.039694772610158156
BS,liquidity,2023-11-24,2023-12-29,316,-0.11218668936529762,-0.006671572514322984
BS,momentum,2023-11-24,2023-12-29,316,-0.30233665707318785,0.020821330169251747
BS,price_volume,2023-11-24,2023-12-29,316,-0.04874744069829691,0.019132425561367784
BS,valuation,2023-11-24,2023-12-29,316,0.25669839560936414,0.08040189920955006
BS,volatility,2023-11-24,2023-12-29,316,-0.15899923799037882,-0.06373722910879003
BS,bs_deviation,2023-12-29,2024-01-26,351,-0.043521589254769,-0.0003144078144078144
BS,liquidity,2023-12-29,2024-01-26,351,-0.25058625373904164,-0.16083999333999333
BS,momentum,2023-12-29,2024-01-26,351,-0.017801633143027473,0.11429348429348428
BS,price_volume,2023-12-29,2024-01-26,351,-0.2508534716648734,-0.23188283938283935
BS,valuation,2023-12-29,2024-01-26,351,-0.051408295841679275,-0.0017032967032967034
BS,volatility,2023-12-29,2024-01-26,351,-0.41600045229787325,-0.6175857475857476
BS,bs_deviation,2024-01-26,2024-02-23,330,0.24429717040582447,0.15968741678068668
BS,liquidity,2024-01-26,2024-02-23,330,0.1456912878308355,0.1908205184286691
BS,momentum,2024-01-26,2024-02-23,330,0.03152301058894076,-0.0022367681813590407
BS,price_volume,2024-01-26,2024-02-23,330,-0.01955248174506746,-0.0478690429580704
BS,valuation,2024-01-26,2024-02-23,330,0.025548709108822742,-0.009200017697800046
BS,volatility,2024-01-26,2024-02-23,330,-0.07211200960460584,-0.08579041964656159
BS,bs_deviation,2024-02-23,2024-03-29,354,-0.06937939395057773,0.002767128531017091
BS,liquidity,2024-02-23,2024-03-29,354,0.1196189803436153,0.08289415757038028
BS,momentum,2024-02-23,2024-03-29,354,-0.11881628353843476,-0.11848095342110763
BS,price_volume,2024-02-23,2024-03-29,354,0.050430379605254365,-0.023455603742974486
BS,valuation,2024-02-23,2024-03-29,354,-0.04853832153000468,-0.024740771898882616
BS,volatility,2024-02-23,2024-03-29,354,0.17095189814505427,0.04743449896092356
BS,bs_deviation,2024-03-29,2024-04-30,332,-0.0007694775405580629,-0.05623309765558519
BS,liquidity,2024-03-29,2024-04-30,332,-0.11820781477345013,-0.060166853418409494
BS,momentum,2024-03-29,2024-04-30,332,-0.14186348382161684,-0.09459607024488909
BS,price_volume,2024-03-29,2024-04-30,332,-0.14994206579909472,-0.18780404544609403
BS,valuation,2024-03-29,2024-04-30,332,0.17205592386614227,0.18684979158899007
BS,volatility,2024-03-29,2024-04-30,332,-0.2000584689954272,-0.03897290804436001
BS,bs_deviation,2024-04-30,2024-05-31,343,-0.09703484094757434,-0.12906048938197415
BS,liquidity,2024-04-30,2024-05-31,343,-0.018016690216769774,-0.13991165621695434
BS,momentum,2024-04-30,2024-05-31,343,0.21576158101251894,-0.08288132528759011
BS,price_volume,2024-04-30,2024-05-31,343,-0.07378762437899643,-0.05885144755576649
BS,valuation,2024-04-30,2024-05-31,343,-0.13365397089105355,-0.18956117155727475
BS,volatility,2024-04-30,2024-05-31,343,0.092702948243043,-0.117817086617826
BS,bs_deviation,2024-05-31,2024-06-28,332,-0.16750494048571857,-0.1699886834018527
BS,liquidity,2024-05-31,2024-06-28,332,-0.10871657442788432,-0.0137094470803931
BS,momentum,2024-05-31,2024-06-28,332,-0.015285654184273481,-0.005684532856665496
BS,price_volume,2024-05-31,2024-06-28,332,-0.061630897114826805,-0.100634103327657
BS,valuation,2024-05-31,2024-06-28,332,0.23285912388249363,0.09159689300190883
BS,volatility,2024-05-31,2024-06-28,332,-0.2899624060198998,-0.2671622228277854
BS,bs_deviation,2024-06-28,2024-07-26,328,-0.04743696243813325,-0.29044358944188986
BS,liquidity,2024-06-28,2024-07-26,328,-0.02106496899922733,-0.16380251390701633
BS,momentum,2024-06-28,2024-07-26,328,-0.17393959945004236,0.08330607134185451
BS,price_volume,2024-06-28,2024-07-26,328,-0.052847791693126096,-0.19314412491047755
BS,valuation,2024-06-28,2024-07-26,328,-0.513906936773278,-0.10629524158658671
BS,volatility,2024-06-28,2024-07-26,328,0.09049595486925224,-0.3683409043454368
BS,bs_deviation,2024-07-26,2024-08-30,330,0.06916095740000719,-0.021903031082178732
BS,liquidity,2024-07-26,2024-08-30,330,-0.0916076128449526,-0.09195459679486162
BS,momentum,2024-07-26,2024-08-30,330,-0.0019661318940258125,0.011854019863276147
BS,price_volume,2024-07-26,2024-08-30,330,-0.022241775025885435,-0.019558907377895614
BS,valuation,2024-07-26,2024-08-30,330,-0.0023279466805171097,0.02370787276617449
BS,volatility,2024-07-26,2024-08-30,330,-0.007061459814847244,0.02387449922321684
BS,bs_deviation,2024-08-30,2024-09-30,339,0.5761682221908349,0.5814587446750182
BS,liquidity,2024-08-30,2024-09-30,339,0.11471177414171473,0.17109154810272018
BS,momentum,2024-08-30,2024-09-30,339,-0.13020655355588914,-0.21901037736139642
BS,price_volume,2024-08-30,2024-09-30,339,0.1635778805010643,0.17834954058075028
BS,valuation,2024-08-30,2024-09-30,339,0.3600204501813113,0.47426081706704776
BS,volatility,2024-08-30,2024-09-30,339,0.23889103964781203,0.47780341230066936
BS,bs_deviation,2024-09-30,2024-10-25,346,0.28654556972478834,0.4417000491774901
BS,liquidity,2024-09-30,2024-10-25,346,0.07319844601865748,-0.04262247114353236
BS,momentum,2024-09-30,2024-10-25,346,0.13954254841680477,0.1534434744946995
BS,price_volume,2024-09-30,2024-10-25,346,0.1301700798155256,0.10642573800637786
BS,valuation,2024-09-30,2024-10-25,346,0.030889273231386488,0.05433439099943291
BS,volatility,2024-09-30,2024-10-25,346,0.10462130412235486,0.08662814067804099
BS,bs_deviation,2024-10-25,2024-11-29,342,0.11536438045497836,0.0775118417265259
BS,liquidity,2024-10-25,2024-11-29,342,-0.13107111366060895,-0.1644843151027968
BS,momentum,2024-10-25,2024-11-29,342,-0.015392695517496648,0.05524359105316106
BS,price_volume,2024-10-25,2024-11-29,342,-0.028026794537187517,0.019213903452148837
BS,valuation,2024-10-25,2024-11-29,342,0.05364302456387709,-0.04760314815406462
BS,volatility,2024-10-25,2024-11-29,342,-0.007389422037476782,-0.04631139162167193
BS,bs_deviation,2024-11-29,2024-12-27,325,0.086579787031631,-0.037205533463158295
BS,liquidity,2024-11-29,2024-12-27,325,0.04607256351247428,-0.11159090692595318
BS,momentum,2024-11-29,2024-12-27,325,0.2675044584925884,-0.03406166728380515
BS,price_volume,2024-11-29,2024-12-27,325,0.03008279398946006,-0.0923487749592557
BS,valuation,2024-11-29,2024-12-27,325,-0.024681144995993113,-0.1540144856950774
BS,volatility,2024-11-29,2024-12-27,325,0.11006626893555384,-0.06081083502096008
BS,bs_deviation,2024-12-27,2025-01-27,325,0.098843439751829,0.06798018527084651
BS,liquidity,2024-12-27,2025-01-27,325,-0.09067457062098079,-0.12263699881469285
BS,momentum,2024-12-27,2025-01-27,325,0.037615244442850845,-0.0658759430440587
BS,price_volume,2024-12-27,2025-01-27,325,-0.07156448000568308,-0.1857674117567179
BS,valuation,2024-12-27,2025-01-27,325,-0.004372614316346052,-0.049833433820411104
BS,volatility,2024-12-27,2025-01-27,325,-0.06969047993754827,-0.04491899086912004
BS,bs_deviation,2025-01-27,2025-02-28,310,0.21397389408599463,0.29123011249487674
BS,liquidity,2025-01-27,2025-02-28,310,0.26562795501037756,0.13990995173324283
BS,momentum,2025-01-27,2025-02-28,310,0.17549686113147958,-0.012567484596780261
BS,price_volume,2025-01-27,2025-02-28,310,0.2308864444320519,0.16877776244860393
BS,valuation,2025-01-27,2025-02-28,310,-0.07234127964903492,-0.13391170194446655
BS,volatility,2025-01-27,2025-02-28,310,0.3671815927694792,0.30055517344512667
BS,bs_deviation,2025-02-28,2025-03-28,321,-0.0014186668770661234,-0.11356591397225288
BS,liquidity,2025-02-28,2025-03-28,321,-0.060813610602511184,-0.14228681720554945
BS,momentum,2025-02-28,2025-03-28,321,0.018343119302848446,-0.20103253613513675
BS,price_volume,2025-02-28,2025-03-28,321,-0.08665269351064225,-0.1803763713937424
BS,valuation,2025-02-28,2025-03-28,321,0.006039577594681829,-0.06257473733093401
BS,volatility,2025-02-28,2025-03-28,321,-0.04542760839518453,-0.21804543739478727
BS,bs_deviation,2025-03-28,2025-04-30,311,-0.06654918961480635,-0.04423775063231551
BS,liquidity,2025-03-28,2025-04-30,311,-0.22728981967798234,-0.18699544413681948
BS,momentum,2025-03-28,2025-04-30,311,-0.05957668375307843,-0.061137928558320634
BS,price_volume,2025-03-28,2025-04-30,311,-0.048639829151946125,-0.1109604014904295
BS,valuation,2025-03-28,2025-04-30,311,0.1610308669109071,0.07952015829829336
BS,volatility,2025-03-28,2025-04-30,311,-0.2201704050066284,-0.20968858959731274
BS,bs_deviation,2025-04-30,2025-05-30,292,0.17660692525067834,0.09560410905885239
